Municipality,Population 2010,2017 (estimate)
Valparaíso ,22576,25632
Pirajuí ,22704,24973
Apiaí ,25191,24945
Álvares Machado ,23513,24813
Angatuba ,22210,24634
Igaraçu do Tietê ,23362,24596
Monte Aprazível ,21746,24393
Brodowski ,21107,24092
Bom Jesus dos Perdões ,19708,24023
Brotas ,21580,23858
Cordeirópolis ,21080,23793
Potim ,19397,23360
Tambaú ,22406,23267
Iracemápolis ,20029,23264
Taquarituba ,22291,23240
Teodoro Sampaio ,21386,22914
Santo Antônio de Posse ,20650,22801
Palmital ,21186,22196
Miguelópolis ,20451,21973
Cunha ,21866,21929
Pompeia ,19964,21674
Lucélia ,19882,21461
Guará ,19858,21081
Bastos ,20445,21073
Nova Granada ,19180,21071
Araçariguama ,17080,21038
Santo Anastácio ,20475,21030
Guapiaçu ,17869,20637
Pradópolis ,17377,20516
Castilho ,18003,20362
Junqueirópolis ,18726,20353
Miracatu ,20592,20288
Itatinga ,18052,20158
Capela do Alto ,17532,20005
Regente Feijó ,18494,19985
Buri ,18563,19737
Paranapanema ,17808,19730
Pariquera-Açu ,18446,19537
Engenheiro Coelho ,15721,19497
Cerqueira César ,17532,19495
Monte Azul Paulista ,18931,19234
Juquiá ,19246,19192
Caconde ,18538,19025
Viradouro ,17297,18654
Águas de Lindóia ,17266,18509
Colina ,17371,18376
Alumínio ,16839,18324
Paraibuna ,17388,18206
Pirapora do Bom Jesus ,15733,18174
Mirante do Paranapanema ,17059,18130
Nazaré Paulista ,16414,18121
Jacupiranga ,17208,17900
Itaberá ,17858,17879
Rosana ,19691,17795
Cafelândia ,16607,17645
Guapiara ,17998,17640
Conchas ,16288,17638
Itirapina ,15524,17589
Cesário Lange ,15540,17587
Guareí ,14565,17551
Elias Fausto ,15775,17393
Ribeirão Branco ,18269,17220
Severínia ,15501,17115
Macatuba ,16259,17111
Itariri ,15471,17062
Potirendaba ,15449,17002
Salesópolis ,15635,16903
Bady Bassitt ,14603,16843
Buritama ,15418,16841
Charqueada ,15085,16772
Pindorama ,15039,16656
Pedregulho ,15700,16645
Altinópolis ,15607,16219
Tabatinga ,14686,16159
Fartura ,15320,16028
Ipuã ,14148,15932
Borborema ,14529,15791
Panorama ,14583,15619
São Lourenço da Serra ,13973,15465
Eldorado ,14641,15436
Santa Adélia ,14333,15331
Tupi Paulista ,14269,15321
Itajobi ,14556,15246
São Simão ,14346,15225
Itaporanga ,14549,15165
Auriflama ,14202,15085
Ipaussu ,13663,14766
Pinhalzinho ,13105,14763
Boa Esperança do Sul ,13645,14727
Santa Branca ,13763,14667
Tarumã ,12885,14547
Patrocínio Paulista ,13000,14351
Flórida Paulista ,12848,14282
Pacaembu ,13226,14086
Luís Antônio ,11286,14021
Holambra ,11299,14012
Maracaí ,13332,13981
Piquete ,14107,13976
Quatá ,12799,13893
Serra Azul ,11256,13810
Urupês ,12714,13655
Itapuí ,12173,13618
Presidente Bernardes ,13406,13420
Piratininga ,12072,13335
Morungaba ,11769,13232
Avanhandava ,11310,13112
Taguaí ,10828,13111
Tapiratiba ,12737,13062
Ribeirão Bonito ,12135,13060
Sete Barras ,13005,13053
Queluz ,11309,12949
Joanópolis ,11768,12947
Mineiros do Tietê ,12038,12812
Valentim Gentil ,11036,12800
Palmares Paulista ,10934,12730
Cananéia ,12226,12609
Duartina ,12251,12549
Palestina ,11051,12542
Chavantes ,12114,12487
Cardoso ,11805,12328
São Sebastião da Grama ,12099,12317
Tabapuã ,11363,12251
Ibirá ,10896,12096
Riolândia ,10575,12086
Bocaina ,10859,12040
Guaiçara ,10670,11869
Sales Oliveira ,10568,11641
Nhandeara ,10725,11398
Divinolândia ,11208,11384
Getulina ,10765,11362
Iacanga ,10013,11343
Pirangi ,10623,11323
Bofete ,9618,11236
Bernardino de Campos ,10775,11180
Lavínia ,8779,11156
Pedro de Toledo ,10204,11136
Areiópolis ,10579,11107
Parapuã ,10844,11073
Estiva Gerbi ,10044,11067
Guaraci ,9976,10964
Vera Cruz ,10769,10963
General Salgado ,10669,10951
São Bento do Sapucaí ,10468,10895
Bananal ,10223,10867
Rincão ,10414,10823
Nova Europa ,9300,10755
São Luiz do Paraitinga ,10397,10740
Ilha Comprida ,9025,10656
